,TT211.SP,VCH4.OP,ACH4.op,EACH4.OP,TE201ST.OP,B201HZ.OP,B301HZ.OP,FCV401.OP,FV202.OP,T1STMAN.OP,T2STMAN.OP,cv202.OP,cv205.OP,cv204.OP,cv207.OP,FI201A.PV,OIL.PV,OISUML.PV,FI202B.PV,FI202A.PV,TT211.PV,TGB1.PV,TT207.PV,TT206.PV,TT204.PV,TT203.PV,TE202.PV,HFV202.PV,HFV202TOTAL.PV
0,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.002585,90.000000,90.000000,1,0,0,1,101023.870101,269.755459,0.0,23000.299378,79143.420955,916.881124,861.259888,566.852606,92.953187,591.819295,87.210041,39.329728,9572.384731,79.271843
1,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.026715,90.000000,90.000000,1,0,0,1,101028.255331,269.755193,0.0,23059.443360,79300.618613,917.628716,863.363713,569.042536,93.250409,589.518261,86.918555,39.044561,9623.805729,105.964545
2,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.049978,90.000000,90.000000,1,0,0,1,101032.507230,269.754839,0.0,23127.406676,79488.324444,918.343183,865.397927,571.229415,93.546277,587.235110,86.628902,38.824953,9677.866042,132.807762
3,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.072572,90.000000,90.000000,1,0,0,1,101036.583275,269.754410,0.0,23201.818749,79698.668798,919.030686,867.372154,573.413461,93.840933,584.969817,86.341102,38.663514,9681.501425,159.749232
4,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.094674,90.000000,90.000000,1,0,0,1,101040.442693,269.753922,0.0,23280.927842,79925.751920,919.696783,869.290762,575.600589,94.135582,582.719598,86.054425,38.553616,9650.271610,186.636609
5,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.116267,90.000000,90.000000,1,0,0,1,101044.046867,269.753383,0.0,23363.996830,80165.151458,920.341165,871.154005,577.789818,94.430693,580.484382,85.769198,38.489314,9613.427216,213.426936
6,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.137403,90.000000,90.000000,1,0,0,1,101047.359727,269.753068,0.0,23409.597270,80276.027994,920.965585,872.973515,579.979438,94.725566,578.264162,85.485442,38.465295,9560.875020,240.074644
7,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.158123,90.000000,90.000000,1,0,0,1,101050.348113,269.752941,0.0,23426.720871,80292.109603,921.571471,874.749227,582.185322,95.023208,576.058576,85.203114,38.476819,9498.851753,266.549891
8,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.178452,90.000000,90.000000,1,0,0,1,101052.982105,269.752970,0.0,23422.282209,80235.994043,922.159751,876.481251,584.404751,95.323070,573.867280,84.922172,38.519659,9431.582615,292.835764
9,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.198402,90.000000,90.000000,1,0,0,1,101055.235327,269.753128,0.0,23401.502217,80125.008874,922.730948,878.169784,586.635548,95.624744,571.690036,84.642591,38.590045,9362.265020,318.924716
10,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.217974,90.000000,90.000000,1,0,0,1,101057.085215,269.753394,0.0,23368.302642,79972.482638,923.285258,879.815048,588.875919,95.927913,569.526688,84.364361,38.684611,9293.402243,344.816449
11,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.237161,90.000000,90.000000,1,0,0,1,101058.513239,269.753748,0.0,23325.624224,79788.471995,923.822619,881.417271,591.124351,96.232323,567.377149,84.087483,38.800356,9226.974331,370.516412
12,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.255946,90.000000,90.000000,1,0,0,1,101059.505094,269.754176,0.0,23275.669953,79580.524194,924.342758,882.976660,593.379540,96.537768,565.241387,83.811964,38.934604,9164.549845,396.034614
